,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-all-pairs,Python
49,ml-ane-transformers,Python
50,ml-aspanformer,Python
51,ml-autofocusformer,Python
52,ml-autofocusformer-segmentation,Python
53,ml-batchquant,Python
54,ml-behavioral-testing-for-mt,
55,ml-calibration,Jupyter Notebook
56,ml-capsules-inverted-attention-routing,Python
57,ml-cifar-10-faster,Python
58,ml-code-switched-speech-translation,Python
59,ml-codeswitching-translations,
60,ml-collegial-ensembles,Python
61,ml-core,Python
62,ml-covid-mobility,R
63,ml-cread,Python
64,ml-cvnets,Python
65,ml-cvpr2019-swd,Python
66,ml-dab,Python
67,ml-data-parameters,Python
68,ml-destseg,Python
69,ml-dms-dataset,Python
70,ml-dprecs,Jupyter Notebook
71,ml-dr,Python
72,ml-duet,Python
73,ml-entropy-reconstruction,Python
74,ml-envmapnet,Python
75,ml-equivariant-neural-rendering,Jupyter Notebook
76,ml-facelit,Python
77,ml-fastvit,Python
78,ml-fct,Python
79,ml-ferret,Python
80,ml-finerecon,Python
81,ml-flair,Jupyter Notebook
82,ml-gaudi,
83,ml-gmpi,Python
84,ml-gsn,Python
85,ml-heart-rate-models,Python
86,ml-hierarchical-confusion-matrix,TypeScript
87,ml-hypersim,Python
88,ml-interspeech2022-phi_rtn,
89,ml-knowledge-conflicts,Python
90,ml-live-pose,
91,ml-mkqa,Python
92,ml-mobileone,Swift
93,ml-multiple-futures-prediction,Python
94,ml-ncg,Python
95,ml-neilf,Python
96,ml-neilfpp,Python
97,ml-neuman,Python
98,ml-no-token-left-behind,Jupyter Notebook
99,ml-nvas3d,Python
100,ml-pointconvformer,Python
101,ml-pointersect,Python
102,ml-probabilistic-attention,Python
103,ml-projunit,Python
104,ml-qrecc,Python
105,ml-quant,Python
106,ml-reed,Python
107,ml-robust-expert-augmentations,Python
108,ml-sad,Python
109,ml-selfcond,Python
110,ml-shuffling-amplification,Python
111,ml-sigma-reparam,Python
112,ml-spatial-librispeech,
113,ml-spin,Python
114,ml-stable-diffusion,Python
115,ml-stuttering-events-dataset,Python
116,ml-symphony,Svelte
117,ml-tract,Python
118,ml-transcript-translation-consistency-ratings,
119,ml-translate-vis,TypeScript
120,ml-tree-dst,Python
121,ml-tune-mode-convbn,Python
122,ml-upscale,Jupyter Notebook
123,ml-uwac,Python
124,ml-vfi-smiff,Python
125,openjdk,Java
126,password-manager-resources,JavaScript
127,sample-backyard-birds,Swift
128,sample-cloudkit-coredatasync,Swift
129,sample-cloudkit-encryption,Swift
130,sample-cloudkit-privatedb,Swift
131,sample-cloudkit-privatedb-sync,Swift
132,sample-cloudkit-queries,Swift
133,sample-cloudkit-sharing,Swift
134,sample-cloudkit-sync-engine,Swift
135,sample-cloudkit-tooling,JavaScript
136,sample-cloudkit-zonesharing,Swift
137,sample-food-truck,Swift
138,servicetalk,Java
139,sourcekit-lsp,Swift
140,swift,C++
141,swift-3-api-guidelines-review,Swift
142,swift-algorithms,Swift
143,swift-argument-parser,Swift
144,swift-asn1,Swift
145,swift-async-algorithms,Swift
146,swift-async-dns-resolver,Swift
147,swift-atomics,Swift
148,swift-book,Markdown
149,swift-cassandra-client,Swift
150,swift-certificates,Swift
151,swift-clang,C++
152,swift-clang-tools-extra,C++
153,swift-cluster-membership,Swift
154,swift-cmake-examples,CMake
155,swift-cmark,C
156,swift-collections,Swift
157,swift-collections-benchmark,Swift
158,swift-community-hosted-continuous-integration,
159,swift-compiler-rt,C
160,swift-corelibs-foundation,Swift
161,swift-corelibs-libdispatch,C
162,swift-corelibs-xctest,Swift
163,swift-crypto,C
164,swift-distributed-actors,Swift
165,swift-distributed-tracing,Swift
166,swift-distributed-tracing-baggage-core,Swift
167,swift-distributed-tracing-extras,Swift
168,swift-docc,Swift
169,swift-docc-plugin,Swift
170,swift-docc-render,JavaScript
171,swift-docc-render-artifact,
172,swift-docc-symbolkit,Swift
173,swift-docker,Dockerfile
174,swift-driver,Swift
175,swift-evolution,Markdown
176,swift-evolution-staging,Swift
177,swift-experimental-string-processing,Swift
178,swift-format,Swift
179,swift-foundation,Swift
